obj_i,obj_j,cell_id,t_exit_i,t_enter_j,pet,severity
251,8,"(3, 14)",5.8,6.666666666666667,0.8666666666666671,critical
8,132,"(3, 14)",6.7,8.2,1.4999999999999991,critical
8,314,"(3, 14)",6.7,8.433333333333334,1.7333333333333334,moderate
133,53,"(3, 14)",10.6,12.133333333333333,1.5333333333333332,moderate
133,53,"(3, 14)",10.6,12.2,1.5999999999999996,moderate
133,53,"(3, 14)",10.6,12.333333333333334,1.7333333333333343,moderate
934,928,"(18, 3)",25.8,27.666666666666668,1.8666666666666671,moderate
934,928,"(18, 3)",26.233333333333334,27.666666666666668,1.4333333333333336,critical
934,928,"(18, 3)",26.466666666666665,27.666666666666668,1.2000000000000028,critical
1305,1402,"(18, 3)",38.4,40.36666666666667,1.9666666666666686,moderate
1633,1679,"(18, 3)",50.53333333333333,51.86666666666667,1.3333333333333357,critical
158,91,"(19, 4)",3.7666666666666666,3.966666666666667,0.20000000000000018,critical
158,91,"(19, 4)",3.7666666666666666,4.2,0.43333333333333357,critical
158,91,"(19, 4)",3.7666666666666666,4.766666666666667,1.0,critical
158,91,"(19, 4)",3.7666666666666666,4.866666666666666,1.0999999999999996,critical
158,91,"(19, 4)",3.8333333333333335,3.966666666666667,0.1333333333333333,critical
158,91,"(19, 4)",3.8333333333333335,4.2,0.3666666666666667,critical
158,91,"(19, 4)",3.8333333333333335,4.766666666666667,0.9333333333333331,critical
158,91,"(19, 4)",3.8333333333333335,4.866666666666666,1.0333333333333328,critical
91,133,"(21, 4)",3.3,4.4,1.1000000000000005,critical
620,781,"(21, 4)",24.433333333333334,26.166666666666668,1.7333333333333343,moderate
620,781,"(21, 4)",24.433333333333334,26.233333333333334,1.8000000000000007,moderate
620,781,"(21, 4)",24.533333333333335,26.166666666666668,1.6333333333333329,moderate
620,781,"(21, 4)",24.533333333333335,26.233333333333334,1.6999999999999993,moderate
132,133,"(16, 7)",5.5,7.266666666666667,1.7666666666666666,moderate
132,133,"(16, 7)",5.5,7.333333333333333,1.833333333333333,moderate
133,53,"(16, 7)",7.666666666666667,9.466666666666667,1.7999999999999998,moderate
133,53,"(16, 7)",7.666666666666667,9.566666666666666,1.8999999999999995,moderate
1197,1215,"(16, 7)",33.86666666666667,34.13333333333333,0.2666666666666657,critical
132,133,"(14, 8)",6.066666666666666,8.033333333333333,1.9666666666666668,moderate
133,53,"(14, 8)",8.3,10.166666666666666,1.8666666666666654,moderate
1371,1463,"(14, 8)",41.833333333333336,43.6,1.7666666666666657,moderate
133,53,"(13, 9)",8.7,10.366666666666667,1.6666666666666679,moderate
53,268,"(13, 9)",10.6,12.533333333333333,1.9333333333333336,moderate
268,353,"(13, 9)",12.566666666666666,14.566666666666666,2.0,moderate
268,353,"(13, 9)",12.666666666666666,14.566666666666666,1.9000000000000004,moderate
133,53,"(12, 9)",8.633333333333333,10.633333333333333,2.0,moderate
133,53,"(12, 9)",8.833333333333334,10.633333333333333,1.799999999999999,moderate
133,53,"(12, 9)",8.933333333333334,10.633333333333333,1.6999999999999993,moderate
53,268,"(12, 9)",10.666666666666666,12.6,1.9333333333333336,moderate
268,353,"(12, 9)",13.4,14.666666666666666,1.2666666666666657,critical
268,353,"(12, 9)",13.4,14.966666666666667,1.5666666666666664,moderate
268,353,"(12, 9)",13.4,15.1,1.6999999999999993,moderate
133,53,"(11, 10)",9.1,10.866666666666667,1.7666666666666675,moderate
268,353,"(11, 10)",13.866666666666667,15.633333333333333,1.7666666666666657,moderate
268,353,"(11, 10)",13.866666666666667,15.766666666666667,1.9000000000000004,moderate
1765,1816,"(11, 10)",55.166666666666664,56.3,1.1333333333333329,critical
1765,1816,"(11, 10)",55.166666666666664,57.1,1.9333333333333371,moderate
