idx,track_a,track_b,pet,frame,angle_fl,angle_world,consist_a,consist_b,max_gap_40,max_jump,n_a,n_b,max_p95,max_p99,max_frac,decel_max,pred_min_sep,pred_t_min,verdict,is_N
75,63000,41000,1.266348793322446,63,173.14592065645326,171.2533287695,21.616272604935148,11.923355224221678,3,60.155972935888656,54,102,6.265380799117707,22.85456424930801,0.0099009900990099,-0.0107060270370156,1.8325862514712965,7.0,N,1
76,41000,69000,1.8995231899836689,69,13.21387987284777,16.53787805648893,21.835880348701405,,13,60.155972935888656,102,20,6.265380799117707,22.85456424930801,0.0099009900990099,-0.0183988701469325,,,N,1
77,41000,81000,0.8997741426238431,128,,,,16.302142414100896,40,60.155972935888656,102,142,6.265380799117707,22.85456424930801,0.0099009900990099,0.0173212795737366,,,Y,0
78,41000,92003,0.0999749047359825,102,8.855523940619776,12.990825705819583,12.187711211367278,22.1619334860138,14,62.80712911056902,102,87,6.265380799117707,22.85456424930801,0.0116279069767441,,0.5409127101374305,0.0,Y,0
79,41001,60000,0.633174396661223,178,140.18429779660954,116.58901161760798,24.78513536450519,74.4593897851752,3,76.90315378189077,137,278,3.454954756348385,58.90941003296033,0.0225563909774436,0.0091493258533222,0.7855345916250077,0.0,Y,0
80,79000,41001,1.1996988568317908,114,9.228876240780693,,10.419474487234307,11.491788217819234,20,76.90315378189077,273,137,3.6489776532735503,58.90941003296033,0.0225563909774436,-0.0014439647029227,1.5565985591625555,0.0,N,1
81,42000,45002,1.1330489203411358,60,7.080965060665694,8.460816556003806,15.64576900057274,31.760609024477013,3,10.11022008585728,215,132,2.597748881471205,4.6977171658793,0.0,-0.0004313289764098,1.3572054108349672,0.0,N,1
82,44002,43006,1.6329234440210487,77,,,,,41,74.54837981113559,5,10,63.80449341245789,72.39960253140003,0.25,,,,N,1
83,44000,59002,1.5995984757757211,67,,,,62.92763537068892,41,70.6676313624057,22,19,20.40804616649096,59.07793193295385,0.0666666666666666,-0.1451157957794734,,,N,1
84,60000,44000,0.1666248412266376,21,153.2512191209998,153.92483303117766,40.936924391039376,92.18954101083844,18,70.6676313624057,278,22,12.719134215146262,59.07793193295385,0.0476190476190476,-0.0001138632367105,0.4328581996227562,0.0,Y,0
85,51000,45002,1.999498094719652,86,7.020794733028438,9.121220620647932,20.46294654042501,11.510823381447242,8,38.342258293537306,267,132,5.190148480726707,9.785151613261489,0.0076045627376425,0.0025781292494566,2.014207683386036,0.0,N,1
86,73001,45002,0.7997992378878606,90,9.67514417348588,10.860617166127156,12.942893894548517,13.332774736303492,2,11.60373339696871,261,132,4.320821111269852,6.492549229933367,0.0,-0.0027157213372822,0.9910698289336324,41.0,N,1
87,47000,54000,0.4665495554345854,136,,,,,34,44.54401014980402,70,82,4.584277200396739,17.169017365250042,0.0131578947368421,,,,Y,0
88,47001,60000,0.2665997459626202,212,15.691794653598578,17.70652680225149,12.059362791559392,18.96921857094613,0,59.30343763463081,135,278,3.454954756348385,37.66406653552698,0.0180505415162454,0.0045787260942858,1.1051446933224218,0.0,N,1
89,95000,47001,1.1996988568317908,164,7.718380800610106,9.658904190454194,8.361091350655903,26.131188080774688,20,41.81458929164619,188,135,3.725109924664993,4.801834866536148,0.0053475935828877,-0.0022662343801174,1.683776213759679,0.0,N,1
90,72001,48000,0.8997741426238431,41,,,,12.715317427232549,41,60.46470121450091,5,295,51.71395792005354,58.71455255561143,0.25,-0.0004204579698938,,,N,1
91,78000,48000,1.999498094719652,256,,,,4.750540822923284,41,11.827541463219765,135,295,7.115484635715923,11.408464250378476,0.0,-0.0237972267891368,,,N,1
92,48000,79000,1.2330238250771184,63,108.76473000223164,78.80106906201357,13.738732796177834,48.80427904255226,12,11.280920494447688,295,273,5.507875249827451,6.819722206321524,0.0,-0.0006616635725352,1.4298972426798036,0.0,N,1
