event_id,cell_id,obj_i,obj_j,t_exit_i,t_entry_j,PET
1018,CELL_J_4,125,295,8.631166775539828,9.897515568862275,1.2663487933224467
1019,CELL_J_4,286,295,8.564516839049174,9.231016203955724,0.6664993649065494
1020,CELL_J_4,286,295,8.564516839049174,9.330991108691707,0.7664742696425328
1021,CELL_J_4,286,295,8.564516839049174,9.664240791144982,1.0997239520958075
1022,CELL_J_4,286,295,8.564516839049174,9.897515568862275,1.3329987298131005
1023,CELL_J_4,295,295,9.264341172201052,9.330991108691707,0.06664993649065565
1024,CELL_J_4,295,295,9.264341172201052,9.664240791144982,0.39989961894393034
1025,CELL_J_4,295,295,9.264341172201052,9.897515568862275,0.6331743966612233
1026,CELL_J_4,295,295,9.564265886409,9.664240791144982,0.0999749047359817
1027,CELL_J_4,295,295,9.564265886409,9.897515568862275,0.3332496824532747
1028,CELL_J_4,295,295,9.83086563237162,9.897515568862275,0.06664993649065565
1029,CELL_J_5,21,58,2.4660476501542368,2.7659723643621845,0.29992471420794775
1030,CELL_J_5,21,107,2.4660476501542368,2.5660225548902194,0.09997490473598258
1031,CELL_J_5,21,114,2.4660476501542368,2.5660225548902194,0.09997490473598258
1032,CELL_J_5,21,114,2.4660476501542368,2.7659723643621845,0.29992471420794775
1033,CELL_J_5,58,58,2.6993224278715293,2.7659723643621845,0.0666499364906552
1034,CELL_J_5,58,114,2.6993224278715293,2.7659723643621845,0.0666499364906552
1035,CELL_J_5,63,20,1.5995984757757211,1.966173126474324,0.36657465069860296
1036,CELL_J_5,63,21,1.5995984757757211,2.2660978406822716,0.6664993649065505
1037,CELL_J_5,63,58,1.5995984757757211,2.4327226819089094,0.8331242061331883
1038,CELL_J_5,63,58,1.5995984757757211,2.7659723643621845,1.1663738885864634
1039,CELL_J_5,63,87,1.5995984757757211,1.966173126474324,0.36657465069860296
1040,CELL_J_5,63,87,1.5995984757757211,2.0661480312103064,0.4665495554345853
1041,CELL_J_5,63,94,1.5995984757757211,1.8995231899836689,0.29992471420794775
1042,CELL_J_5,63,107,1.5995984757757211,2.4327226819089094,0.8331242061331883
1043,CELL_J_5,63,107,1.5995984757757211,2.5660225548902194,0.9664240791144982
1044,CELL_J_5,63,114,1.5995984757757211,2.4327226819089094,0.8331242061331883
1045,CELL_J_5,63,114,1.5995984757757211,2.5660225548902194,0.9664240791144982
1046,CELL_J_5,63,114,1.5995984757757211,2.7659723643621845,1.1663738885864634
1047,CELL_J_5,85,20,1.5995984757757211,1.966173126474324,0.36657465069860296
1048,CELL_J_5,85,21,1.5995984757757211,2.2660978406822716,0.6664993649065505
1049,CELL_J_5,85,58,1.5995984757757211,2.4327226819089094,0.8331242061331883
1050,CELL_J_5,85,58,1.5995984757757211,2.7659723643621845,1.1663738885864634
1051,CELL_J_5,85,87,1.5995984757757211,1.966173126474324,0.36657465069860296
1052,CELL_J_5,85,87,1.5995984757757211,2.0661480312103064,0.4665495554345853
1053,CELL_J_5,85,94,1.5995984757757211,1.8995231899836689,0.29992471420794775
